PAESE,PRES_ASS_PAG,PRES_OC_DATA_FINE_PREVISTA,PRES_OC_DATA_INIZIO_PREVISTA,PRES_STATUS,PRES_FINANZ_ALTRO,PRES_FINANZ_UE,PRES_IMPEGNI,PRES_TOT_PAGAMENTI,PRES_CAP_PROG,PRES_LOC_TERRITORIO_PROG,PRES_COD_AZIONE_COD_LINEA,PRES_PO_COD_OBIETTIVO_OPERATIVO,PRES_PO_CODICE_ASSE,PRES_QSN_COD_TEMA_PRIORITARIO_UE,PRES_CUP,PRES_DESCR_PROGETTO,PRES_OC_DENOMINAZIONE_SOGG,PRES_OC_DESCR_FONTE,PRES_OC_TITOLO_PROGETTO,PRES_AVANZ_PROG,PRES_FOTO_SCHEDE_PROG,PRES_INDIC_RIS,PRES_BULK,PRES_CLICK_DATABASE,PRES_CLICK_HOMEPAGE_FINO_A_2,PRES_ROBOTX_TXT,PRES_DATA_AGGIORNAMENTO,PRES_FREQ_AGG,PRES_ALTRA_LINGUA,PRES_CAMPI_ALTRA_LINGUA,PRES_DESCR_DATI,PRES_INFO_RACCOLTA,PRES_METADATI,PRES_CSV,PRES_DOC,PRES_HTML_UNICA_PAG,PRES_HTML_VARIE_PAG,PRES_PDF,PRES_RDF,PRES_XLS,PRES_XML_JSON,PRES_LICENZA,PRES_GEOREF,PRES_GRAFICI_ANALISI,PRES_MAPPA,PRES_FILTRI,PRES_RIC_ANNO,PRES_RIC_ASSE_OB_AZ,PRES_RIC_FON,PRES_RIC_LIBERA,PRES_RIC_LOC,PRES_RIC_PO,PRES_RIC_PROG,PRES_RIC_RIS,PRES_RIC_SOGG,PRES_RIC_STATUS,PRES_COMMENTI,PRES_POSS_CONT,PRES_POSS_RISP,PRES_GUIDA,PRES_LINK_ANALISI,PRES_STRUMENTI_ANALISI,UNI_ACC,UNI_SITO,UNI_PORT,INFO_FESR,INFO_FSE,INFO_FEASR,INFO_ALTRI_FONDI,INFO_FONDI_NAZIONALI,OL_0713,SITO_FILTRI,MEURO_PO,MEURO_PO_OD_PRES_CSV,MEURO_PO_ODPRES_DOC,MEURO_PO_ODPRES_HTML,MEURO_PO_ODPRES_HTML_VARIE_PAG,MEURO_PO_ODPRES_PDF,MEURO_PO_ODPRES_RDF,MEURO_PO_ODPRES_XLS,MEURO_PO_ODPRES_XML,MEURO_PO_ODPRES_JSON,IND_RIS_REA,IND_HTML,IND_HTML_VARIE_PAG,IND_PDF,IND_RDF,IND_XLS,IND_JSON,IND_CSV,IN_DOC,IND_XML,BANDI_OPP,CONS_PUBB_PO,CONS_PUBB_STRATEGIE,CONS_PUBB_CALL,EN_PAESE,alpha2Code,alpha3Code
Irland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,
Italia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,Italy,IT,ITA
Kypros,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,Cyprus,CY,CYP
Latvija,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,Latvia,LV,LVA
Lietuva,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1.0,0.0,0,0,,,
Luxembourg (Grand-Duche),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,,,
Magyarország,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1,,,
Malta,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,Malta,MT,MLT
Nederland,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,Netherlands,NL,NLD
Polska,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,Poland,PL,POL
Portugal,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,Portugal,PT,PRT
România,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,Romania,RO,ROU
Slovenija,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,Slovenia,SI,SVN
Slovenska Republica,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,,,
Suomi/Finland,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.0,0.0,0,0,,,
Sverige,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,Sweden,SE,SWE
United Kingdom,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,United Kingdom of Great Britain and Northern Ireland,GB,GBR
Österreich,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0,Austria,AT,AUT
